prod_code,prod_name,prod_desc,prod_price
0,Product 0,The product that's perfect for 0 stuff,0
14,Product 14,The product that's perfect for 14 stuff,0
30,Product 30,The product that's perfect for 30 stuff,0
93,Product 93,The product that's perfect for 93 stuff,0
154,Product 154,The product that's perfect for 154 stuff,0
209,Product 209,The product that's perfect for 209 stuff,0
308,Product 308,The product that's perfect for 308 stuff,0
311,Product 311,The product that's perfect for 311 stuff,0
397,Product 397,The product that's perfect for 397 stuff,0
421,Product 421,The product that's perfect for 421 stuff,0
429,Product 429,The product that's perfect for 429 stuff,0
446,Product 446,The product that's perfect for 446 stuff,0
460,Product 460,The product that's perfect for 460 stuff,0
477,Product 477,The product that's perfect for 477 stuff,0
540,Product 540,The product that's perfect for 540 stuff,0
574,Product 574,The product that's perfect for 574 stuff,0
682,Product 682,The product that's perfect for 682 stuff,0
688,Product 688,The product that's perfect for 688 stuff,0
766,Product 766,The product that's perfect for 766 stuff,0
858,Product 858,The product that's perfect for 858 stuff,0
928,Product 928,The product that's perfect for 928 stuff,0
980,Product 980,The product that's perfect for 980 stuff,0
981,Product 981,The product that's perfect for 981 stuff,0
1008,Product 1008,The product that's perfect for 1008 stuff,0
1023,Product 1023,The product that's perfect for 1023 stuff,0
1073,Product 1073,The product that's perfect for 1073 stuff,0
1197,Product 1197,The product that's perfect for 1197 stuff,0
1236,Product 1236,The product that's perfect for 1236 stuff,0
1256,Product 1256,The product that's perfect for 1256 stuff,0
1359,Product 1359,The product that's perfect for 1359 stuff,0
1371,Product 1371,The product that's perfect for 1371 stuff,0
1433,Product 1433,The product that's perfect for 1433 stuff,0
1654,Product 1654,The product that's perfect for 1654 stuff,0
1731,Product 1731,The product that's perfect for 1731 stuff,0
1813,Product 1813,The product that's perfect for 1813 stuff,0
1845,Product 1845,The product that's perfect for 1845 stuff,0
1878,Product 1878,The product that's perfect for 1878 stuff,0
1923,Product 1923,The product that's perfect for 1923 stuff,0
1933,Product 1933,The product that's perfect for 1933 stuff,0
2032,Product 2032,The product that's perfect for 2032 stuff,0
2043,Product 2043,The product that's perfect for 2043 stuff,0
2044,Product 2044,The product that's perfect for 2044 stuff,0
2068,Product 2068,The product that's perfect for 2068 stuff,0
2086,Product 2086,The product that's perfect for 2086 stuff,0
2095,Product 2095,The product that's perfect for 2095 stuff,0
2140,Product 2140,The product that's perfect for 2140 stuff,0
2209,Product 2209,The product that's perfect for 2209 stuff,0
2290,Product 2290,The product that's perfect for 2290 stuff,0
2370,Product 2370,The product that's perfect for 2370 stuff,0
2423,Product 2423,The product that's perfect for 2423 stuff,0
2457,Product 2457,The product that's perfect for 2457 stuff,0
2460,Product 2460,The product that's perfect for 2460 stuff,0
2563,Product 2563,The product that's perfect for 2563 stuff,0
2654,Product 2654,The product that's perfect for 2654 stuff,0
2696,Product 2696,The product that's perfect for 2696 stuff,0
2785,Product 2785,The product that's perfect for 2785 stuff,0
2788,Product 2788,The product that's perfect for 2788 stuff,0
2815,Product 2815,The product that's perfect for 2815 stuff,0
2868,Product 2868,The product that's perfect for 2868 stuff,0
2931,Product 2931,The product that's perfect for 2931 stuff,0
2935,Product 2935,The product that's perfect for 2935 stuff,0
2947,Product 2947,The product that's perfect for 2947 stuff,0
3163,Product 3163,The product that's perfect for 3163 stuff,0
3287,Product 3287,The product that's perfect for 3287 stuff,0
3332,Product 3332,The product that's perfect for 3332 stuff,0
3354,Product 3354,The product that's perfect for 3354 stuff,0
3422,Product 3422,The product that's perfect for 3422 stuff,0
3470,Product 3470,The product that's perfect for 3470 stuff,0
3481,Product 3481,The product that's perfect for 3481 stuff,0
3604,Product 3604,The product that's perfect for 3604 stuff,0
3762,Product 3762,The product that's perfect for 3762 stuff,0
3845,Product 3845,The product that's perfect for 3845 stuff,0
3884,Product 3884,The product that's perfect for 3884 stuff,0
3904,Product 3904,The product that's perfect for 3904 stuff,0
3922,Product 3922,The product that's perfect for 3922 stuff,0
3938,Product 3938,The product that's perfect for 3938 stuff,0
4018,Product 4018,The product that's perfect for 4018 stuff,0
4165,Product 4165,The product that's perfect for 4165 stuff,0
4373,Product 4373,The product that's perfect for 4373 stuff,0
4616,Product 4616,The product that's perfect for 4616 stuff,0
4641,Product 4641,The product that's perfect for 4641 stuff,0
4649,Product 4649,The product that's perfect for 4649 stuff,0
4709,Product 4709,The product that's perfect for 4709 stuff,0
4715,Product 4715,The product that's perfect for 4715 stuff,0
4788,Product 4788,The product that's perfect for 4788 stuff,0
4813,Product 4813,The product that's perfect for 4813 stuff,0
4836,Product 4836,The product that's perfect for 4836 stuff,0
4851,Product 4851,The product that's perfect for 4851 stuff,0
4875,Product 4875,The product that's perfect for 4875 stuff,0
4958,Product 4958,The product that's perfect for 4958 stuff,0
4988,Product 4988,The product that's perfect for 4988 stuff,0
5023,Product 5023,The product that's perfect for 5023 stuff,0
5036,Product 5036,The product that's perfect for 5036 stuff,0
5101,Product 5101,The product that's perfect for 5101 stuff,0
5114,Product 5114,The product that's perfect for 5114 stuff,0
5265,Product 5265,The product that's perfect for 5265 stuff,0
5295,Product 5295,The product that's perfect for 5295 stuff,0
5303,Product 5303,The product that's perfect for 5303 stuff,0
5335,Product 5335,The product that's perfect for 5335 stuff,0
5358,Product 5358,The product that's perfect for 5358 stuff,0
5382,Product 5382,The product that's perfect for 5382 stuff,0
5386,Product 5386,The product that's perfect for 5386 stuff,0
5428,Product 5428,The product that's perfect for 5428 stuff,0
5580,Product 5580,The product that's perfect for 5580 stuff,0
5605,Product 5605,The product that's perfect for 5605 stuff,0
5640,Product 5640,The product that's perfect for 5640 stuff,0
5709,Product 5709,The product that's perfect for 5709 stuff,0
5845,Product 5845,The product that's perfect for 5845 stuff,0
5956,Product 5956,The product that's perfect for 5956 stuff,0
5979,Product 5979,The product that's perfect for 5979 stuff,0
6074,Product 6074,The product that's perfect for 6074 stuff,0
6112,Product 6112,The product that's perfect for 6112 stuff,0
6203,Product 6203,The product that's perfect for 6203 stuff,0
6292,Product 6292,The product that's perfect for 6292 stuff,0
6386,Product 6386,The product that's perfect for 6386 stuff,0
6416,Product 6416,The product that's perfect for 6416 stuff,0
6557,Product 6557,The product that's perfect for 6557 stuff,0
