cust_id,order_date,order_num
303104,2018-06-03,303104-33
303104,2018-06-04,303104-44
303104,2018-06-13,303104-21
303104,2018-06-13,303104-1
303104,2018-06-24,303104-34
303104,2018-07-02,303104-20
303104,2018-07-25,303104-16
303104,2018-07-28,303104-4
303104,2018-08-04,303104-8
303104,2018-08-05,303104-48
303104,2018-08-08,303104-45
303104,2018-08-09,303104-27
303104,2018-08-13,303104-40
303104,2018-08-15,303104-39
303104,2018-08-26,303104-41
303104,2018-08-27,303104-37
303104,2018-09-01,303104-26
303104,2018-01-02,303104-3
303104,2018-01-03,303104-6
303104,2018-01-07,303104-29
303104,2018-01-12,303104-12
303104,2018-01-12,303104-32
303104,2018-09-25,303104-5
303104,2018-09-27,303104-49
303104,2018-01-20,303104-13
303104,2018-01-20,303104-23
303104,2018-01-23,303104-9
303104,2018-10-06,303104-25
303104,2018-01-24,303104-24
303104,2018-10-10,303104-17
303104,2018-10-14,303104-36
303104,2018-10-20,303104-28
303104,2018-10-22,303104-30
303104,2018-02-09,303104-22
303104,2018-10-26,303104-50
303104,2018-10-28,303104-47
303104,2018-11-06,303104-43
303104,2018-02-24,303104-11
303104,2018-11-07,303104-18
303104,2018-02-27,303104-38
303104,2018-03-01,303104-19
303104,2018-11-16,303104-46
303104,2018-11-24,303104-31
303104,2018-12-12,303104-2
303104,2018-12-15,303104-15
303104,2018-12-15,303104-14
303104,2018-04-09,303104-42
303104,2018-04-16,303104-10
303104,2018-04-24,303104-7
303104,2018-05-11,303104-35
2553600,2018-05-16,2553600-29
2553600,2018-05-25,2553600-35
2553600,2018-06-05,2553600-44
2553600,2018-06-13,2553600-43
2553600,2018-06-18,2553600-38
2553600,2018-06-22,2553600-25
2553600,2018-06-23,2553600-16
2553600,2018-07-02,2553600-37
2553600,2018-07-07,2553600-27
2553600,2018-07-10,2553600-36
2553600,2018-07-11,2553600-41
2553600,2018-07-28,2553600-47
2553600,2018-08-04,2553600-40
2553600,2018-08-06,2553600-26
2553600,2018-08-07,2553600-1
2553600,2018-08-14,2553600-10
2553600,2018-08-17,2553600-32
2553600,2018-08-19,2553600-4
2553600,2018-01-07,2553600-50
2553600,2018-01-08,2553600-46
2553600,2018-09-24,2553600-20
2553600,2018-01-21,2553600-17
2553600,2018-01-27,2553600-31
2553600,2018-10-11,2553600-2
2553600,2018-10-11,2553600-39
2553600,2018-10-12,2553600-13
2553600,2018-02-01,2553600-21
2553600,2018-10-21,2553600-6
2553600,2018-02-09,2553600-12
2553600,2018-02-10,2553600-42
2553600,2018-02-17,2553600-5
2553600,2018-11-03,2553600-30
2553600,2018-02-26,2553600-48
2553600,2018-11-09,2553600-3
2553600,2018-11-09,2553600-33
2553600,2018-11-09,2553600-7
2553600,2018-11-09,2553600-14
2553600,2018-11-11,2553600-23
2553600,2018-11-21,2553600-8
2553600,2018-03-17,2553600-11
2553600,2018-12-01,2553600-45
2553600,2018-12-02,2553600-34
2553600,2018-12-05,2553600-9
2553600,2018-12-16,2553600-28
2553600,2018-04-05,2553600-18
2553600,2018-04-06,2553600-15
2553600,2018-12-20,2553600-24
2553600,2018-12-27,2553600-19
2553600,2018-04-22,2553600-22
2553600,2018-04-25,2553600-49
656897,2018-05-16,656897-47
656897,2018-05-20,656897-21
656897,2018-05-21,656897-39
656897,2018-05-23,656897-10
656897,2018-05-24,656897-18
656897,2018-05-27,656897-46
656897,2018-05-27,656897-26
656897,2018-06-02,656897-5
656897,2018-06-02,656897-12
656897,2018-06-15,656897-1
656897,2018-06-19,656897-40
656897,2018-06-24,656897-49
656897,2018-07-10,656897-28
656897,2018-07-22,656897-19
656897,2018-08-09,656897-13
656897,2018-08-16,656897-35
656897,2018-08-18,656897-20
656897,2018-08-22,656897-17
656897,2018-08-26,656897-37
656897,2018-09-05,656897-3
656897,2018-09-15,656897-31
656897,2018-01-04,656897-2
656897,2018-09-18,656897-29
656897,2018-01-08,656897-30
656897,2018-01-10,656897-43
656897,2018-01-11,656897-48
656897,2018-10-01,656897-34
656897,2018-01-19,656897-6
656897,2018-01-20,656897-7
656897,2018-10-06,656897-44
656897,2018-10-06,656897-32
656897,2018-10-11,656897-45
656897,2018-10-17,656897-25
