fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trips_last_5min,key
11.3,2011-01-28 20:42:59 UTC,-73.999022,40.739146000000005,-73.990369,40.717866,1,1129,0
7.7,2011-06-27 04:28:06 UTC,-73.987443,40.729221,-73.979013,40.758641,1,2876,1
10.5,2011-04-03 00:54:53 UTC,-73.982539,40.735725,-73.954797,40.778388,1,3950,2
16.2,2009-04-10 04:11:56 UTC,-74.00194499999999,40.740505,-73.91385,40.758559000000005,1,1334,3
33.5,2014-02-24 18:22:00 UTC,-73.993372,40.753382,-73.8609,40.732896999999994,2,2623,4
6.9,2011-12-10 00:25:23 UTC,-73.996237,40.721848,-73.989416,40.718052,1,2833,5
6.1,2012-09-01 14:30:19 UTC,-73.977048,40.758461,-73.984899,40.744693,2,2002,6
9.5,2012-11-08 13:28:07 UTC,-73.969402,40.757545,-73.95004899999999,40.776078999999996,1,661,7
9.0,2014-07-15 11:37:25 UTC,-73.979318,40.760949,-73.95767,40.773724,1,1938,8
3.3,2009-11-09 18:06:58 UTC,-73.955675,40.779154,-73.96117199999999,40.772368,1,2781,9
17.0,2014-09-14 21:52:28 UTC,-73.993789,40.749181,-73.951233,40.770045,2,1938,10
12.5,2010-02-25 20:14:00 UTC,-73.921475,40.850072,-73.92196,40.851203000000005,3,2876,11
9.5,2013-12-06 14:55:00 UTC,-73.977698,40.756532,-73.975307,40.761362,6,2490,12
7.0,2013-01-23 18:22:03 UTC,-73.984717,40.740185,-73.994878,40.733967,2,2623,13
6.5,2010-02-25 20:14:00 UTC,-73.974858,40.751708,-73.968745,40.765834999999996,1,916,14
6.5,2014-04-05 23:53:18 UTC,-73.99494399999999,40.750174,-74.00496600000001,40.741399,1,3620,15
57.33,2013-12-09 15:03:00 UTC,-73.781123,40.645032,-73.98674,40.750116999999996,1,1050,16
4.0,2014-10-14 18:52:03 UTC,-73.945399,40.774312,-73.95251400000001,40.776852000000005,1,2172,17
57.33,2013-12-09 15:03:00 UTC,-73.78281199999999,40.64441,-73.982442,40.771547,1,2557,18
57.33,2013-12-21 06:21:00 UTC,-73.982702,40.73953,-73.776382,40.645802,1,2574,19
7.5,2015-01-19 08:18:56 UTC,-73.98986053466797,40.76724624633789,-73.98897552490234,40.75223159790039,1,2876,20
9.0,2014-02-24 18:22:00 UTC,-74.00426999999999,40.747921999999996,-73.98207,40.746297,1,2329,21
18.1,2009-04-16 23:37:48 UTC,-73.982341,40.773348999999996,-74.001974,40.708084,2,2876,22
14.1,2012-06-29 04:32:36 UTC,-73.98893000000001,40.726817,-73.954809,40.725432,2,1412,23
12.0,2012-10-17 11:13:44 UTC,-73.966471,40.770689000000004,-73.990027,40.741095,2,2144,24
17.7,2009-08-20 23:20:07 UTC,-73.956228,40.775818,-74.007388,40.707193,2,1564,25
26.9,2011-03-19 03:32:00 UTC,-73.996315,40.74313,-73.969475,40.647775,5,1611,26
4.0,2013-05-02 14:14:35 UTC,-73.970302,40.796478,-73.96624200000001,40.799669,1,3204,27
7.3,2011-04-07 15:38:26 UTC,-73.97721899999999,40.755586,-73.97704499999999,40.755441999999995,1,2955,28
5.5,2013-12-24 20:57:22 UTC,-73.945498,40.790333000000004,-73.94920400000001,40.801746,1,862,29
25.3,2012-06-08 06:05:42 UTC,-73.97974,40.762890000000006,-73.861776,40.768401000000004,1,1809,30
4.0,2014-04-15 20:43:11 UTC,-73.98870500000001,40.722409000000006,-73.989553,40.726187,4,2833,31
8.9,2010-11-08 20:02:50 UTC,-73.952608,40.776847,-73.979107,40.743755,1,2655,32
7.7,2009-08-24 11:17:19 UTC,-73.992489,40.76762,-73.988761,40.752679,1,1360,33
5.8,2009-02-24 23:44:22 UTC,-73.986531,40.757109,-73.97403,40.750545,4,1489,34
6.0,2013-06-25 20:34:47 UTC,-74.008558,40.745348,-73.995798,40.750448,1,2781,35
13.5,2014-09-04 01:04:22 UTC,-73.939801,40.750197,-73.99049699999999,40.761113,3,2011,36
8.1,2011-07-27 21:16:33 UTC,-73.870136,40.77348,-73.866952,40.768605,1,1600,37
8.1,2010-03-26 02:29:37 UTC,-73.982225,40.776409,-73.97344,40.755316,2,2809,38
19.0,2015-05-19 09:00:10 UTC,-73.94542694091797,40.7740592956543,-74.00272369384766,40.74231338500977,1,1130,39
5.7,2012-02-21 11:53:00 UTC,-73.965705,40.763185,-73.97728199999999,40.75822,1,1460,40
11.3,2012-07-05 14:18:00 UTC,-73.98853000000001,40.723122,-74.00886,40.7109,1,1726,41
12.0,2014-08-16 13:46:19 UTC,-73.999385,40.759473,-74.00000899999999,40.723582,1,1608,42
13.5,2014-02-24 18:22:00 UTC,-73.98973199999999,40.702617,-73.989302,40.665585,5,617,43
4.9,2011-05-26 19:53:34 UTC,-73.953149,40.767646,-73.961258,40.759375,1,2590,44
6.5,2013-04-18 08:48:00 UTC,-73.982615,40.746075,-73.970822,40.75935,1,2955,45
