1,Comfy Quiet Chalet,Vancouver,50,3,3.1,cottage
2,Cozy Calm Hut,London,65,2,4.1,cottage
3,Agreable Calm Place,London,65,4,4.8,house
4,Colossal Quiet Chateau,Paris,3400,16,2.7,castle
5,Homy Quiet Shack,Paris,50,1,1.1,cottage
6,Pleasant Quiet Place,Dublin,35,5,4.3,house
7,Vast Peaceful Fortress,Seattle,3200,24,1.9,castle
8,Giant Quiet Fortress,San Francisco,3400,12,4.1,castle
9,Giant Peaceful Palace,London,1500,20,3.5,castle
10,Sizable Calm Country House,Auckland,650,9,4.9,mansion
11,Homy Quiet Shanty,Melbourne,50,1,2.8,cottage
12,Beautiful Peaceful Villa,Seattle,90,2,2.1,house
13,Enormous Peaceful Fortress,Melbourne,3300,12,2.3,castle
14,Colossal Peaceful Palace,Melbourne,1200,21,1.5,castle
15,Vast Private Fort,London,1300,18,2.6,castle
16,Large Calm House,Melbourne,45,3,4.1,house
17,Large Calm Sately House,NYC,850,9,1.2,mansion
18,Big Peaceful Hut,Melbourne,60,2,2.4,cottage
19,Giant Quiet Castle,Paris,4500,18,1.6,castle
20,Big Private Hall,Buenos Aires,650,12,1.2,mansion
21,Big Peaceful Cabin,Seattle,80,2,4.9,cottage
22,Pleasant Peaceful House,Auckland,50,5,3.5,house
23,Homy Calm House,Paris,70,2,2.0,cottage
24,Nice Private Cottage,San Francisco,40,2,1.1,cottage
25,Nice Calm Chalet,Seattle,55,2,4.5,cottage
26,Enormous Peaceful Palace,Paris,1300,18,1.1,castle
27,Enormous Calm Castle,Berlin,1500,12,2.3,castle
28,Beautiful Calm Villa,Tokyo,110,2,4.2,house
29,Big Quiet Manor,San Francisco,650,12,4.3,mansion
30,Large Peaceful House,Berlin,110,5,2.3,house
31,Colossal Private Castle,Buenos Aires,1400,15,3.3,castle
32,Immense Private Hall,Seattle,850,12,1.0,mansion
33,Pleasant Calm Place,Tokyo,30,2,4.8,house
34,Vast Private Fort,NYC,4400,21,1.7,castle
35,Colossal Quiet Chateau,NYC,2300,14,4.6,castle
36,Comfy Private Shanty,NYC,80,1,3.7,cottage
37,Enormous Quiet Chateau,Berlin,2000,20,2.7,castle
38,Big Private House,San Francisco,70,4,2.9,house
39,Beautiful Calm Villa,Vancouver,50,3,3.5,house
40,Colossal Private Castle,Seattle,2900,24,1.5,castle
41,Big Calm Manor,Seattle,800,11,2.7,mansion
42,Large Calm Residence,London,900,12,2.4,mansion
43,Nice Private Hut,Melbourne,60,3,2.8,cottage
44,Big Peaceful Chateau,Melbourne,3400,21,3.2,castle
45,Vast Quiet Chateau,Tokyo,1100,19,2.3,castle
46,Colossal Private Castle,San Francisco,1900,15,3.7,castle
47,Sizable Calm Sately House,Seattle,900,10,1.5,mansion
48,Big Calm Fort,Vancouver,4500,22,4.0,castle
49,Big Private Villa,NYC,90,2,4.8,house
50,Enormous Calm Fort,Seattle,2300,22,4.5,castle
51,Nice Quiet Hut,Auckland,70,3,1.4,cottage
52,Giant Private Palace,Melbourne,1800,23,2.7,castle
53,Comfy Private Shanty,Buenos Aires,40,2,4.6,cottage
54,Enormous Quiet Chateau,Melbourne,4400,20,1.7,castle
55,Cozy Peaceful Hut,London,75,2,1.7,cottage
56,Sizable Private Residence,London,800,11,3.5,mansion
57,Immense Quiet Residence,Auckland,800,11,3.5,mansion
58,Nice Calm Cottage,Berlin,40,3,3.9,cottage
59,Large Peaceful Place,Tokyo,55,5,1.2,house
60,Vast Peaceful Palace,Seattle,1600,19,1.1,castle
61,Large Calm Place,NYC,60,2,1.3,house
62,Comfy Calm Cabin,Buenos Aires,65,2,4.3,cottage
63,Big Private Chateau,Buenos Aires,2400,23,4.5,castle
64,Enormous Peaceful Fort,Berlin,3500,13,1.8,castle
65,Comfy Private Chalet,NYC,45,2,1.0,cottage
66,Beautiful Private Villa,London,80,2,2.4,house
67,Giant Calm Chateau,Vancouver,2300,13,3.2,castle
68,Giant Peaceful Fort,Paris,1800,21,1.1,castle
69,Homy Quiet House,NYC,65,1,3.1,cottage
70,Great Calm Sately House,Paris,1050,10,2.2,mansion
71,Cozy Calm Hut,San Francisco,55,2,3.8,cottage
72,Beautiful Calm Place,Paris,80,4,2.1,house
73,Nice Peaceful Cabin,London,60,1,3.4,cottage
74,Giant Calm Fort,Melbourne,2400,12,2.3,castle
75,Large Private Place,Berlin,50,4,3.6,house
76,Pleasant Calm Villa,Berlin,30,2,2.4,house
77,Great Private Country House,Dublin,1150,10,2.4,mansion
78,Giant Private Fortress,Tokyo,2100,17,2.5,castle
79,Large Private Manor,Vancouver,1050,10,4.8,mansion
80,Big Quiet Cabin,San Francisco,40,3,4.3,cottage
81,Homy Quiet Shack,Seattle,70,3,2.2,cottage
82,Cozy Peaceful Cabin,San Francisco,75,1,1.6,cottage
83,Comfy Calm Shack,San Francisco,40,3,3.4,cottage
84,Great Peaceful Sately House,Melbourne,700,8,3.2,mansion
85,Nice Private Shack,Auckland,55,1,4.9,cottage
86,Large Quiet House,London,100,4,4.0,house
87,Immense Peaceful Hall,San Francisco,850,12,4.4,mansion
88,Colossal Quiet Palace,Seattle,4100,16,3.6,castle
89,Nice Private House,Seattle,45,2,3.2,cottage
90,Big Quiet House,Seattle,35,5,3.2,house
91,Large Peaceful Hall,Melbourne,650,10,1.9,mansion
92,Cozy Quiet Bungalow,San Francisco,85,3,3.5,cottage
93,Giant Quiet Chateau,Vancouver,1800,16,3.9,castle
94,Giant Peaceful Castle,Auckland,2900,25,3.3,castle
95,Great Calm Hall,San Francisco,800,11,3.8,mansion
96,Immense Private Country House,Tokyo,800,9,3.8,mansion
97,Cozy Quiet Chalet,Auckland,75,1,2.3,cottage
98,Big Private Castle,Paris,2000,23,4.6,castle
99,Pleasant Quiet Place,NYC,80,4,3.2,house
