age_bracket,id,ip,lat,lng,opted_into_marketing,user_agent
55+,3010267313606940525,158.165.117.213,44.0521,-123.0867,False,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/5.0)
41-55,-7830834664309071291,192.210.235.226,28.7633,-81.3722,False,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/18.0.893.0 Mobile/23R834 Safari/532.0
41-55,3763724135370307810,7.119.105.81,39.3642,-74.4231,False,Opera/9.53.(X11; Linux x86_64; aa-ET) Presto/2.9.175 Version/11.00
26-40,-8405775196959727812,18.131.99.246,47.6339,-122.3476,True,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10 9_5; rv:1.9.2.20) Gecko/2018-10-22 05:32:32 Firefox/13.0
41-55,-3892292501846664626,21.21.78.98,39.969,-83.0114,False,Mozilla/5.0 (Windows NT 5.0; lo-LA; rv:1.9.2.20) Gecko/2013-06-22 02:30:17 Firefox/3.8
55+,1599727102776686984,166.95.196.103,38.7714,-90.3709,False,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/3.0)
18-25,-181107244622710103,116.136.52.220,39.9075,116.3972,False,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/5.1)
26-40,-3797258427488158553,222.72.251.145,31.2222,121.4581,False,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/5.1)
55+,-4892045291146082620,34.186.29.159,41.85,-87.65,True,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/3.0)
18-25,-3383259992401056983,137.28.224.58,44.8113,-91.4985,True,Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/59.0.843.0 Mobile/89H549 Safari/533.1
